Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.6545 MVC = 0.2728 AVO = 0.3360
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.586034402
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.113908873		4.519341856	3.481927963	1.939459900	1.197852803	2.784645631	0.000000000
0.114908074		4.554185859	3.516429003	1.973451528	1.231599794	2.818916546	0.000000000
0.115907274		4.589636932	3.551531017	2.008035053	1.265934312	2.853784329	0.000000000
0.116906475		4.625657006	3.587196314	2.043173347	1.300819497	2.889211541	0.000000000
0.117905675		4.662222870	3.623401915	2.078843778	1.336232886	2.925175362	0.000000000
0.118904876		4.699314472	3.660127971	2.115026795	1.372155071	2.961656077	0.000000000
0.119904077		4.736884489	3.697327629	2.151676245	1.408540236	2.998607150	0.000000000
0.120903277		4.774908346	3.734976559	2.188768163	1.445364593	3.036004415	0.000000000
0.121902478		4.813360988	3.773049954	2.226278118	1.482603888	3.073823237	0.000000000
0.122901679		4.852206694	3.811512454	2.264171275	1.520223542	3.112028491	0.000000000
0.123900879		4.891409483	3.850328433	2.302412543	1.558188721	3.150584795	0.000000000
0.124900080		4.930944385	3.889473171	2.340977573	1.596475252	3.189467595	0.000000000
0.125899281		4.970777745	3.928913348	2.379833543	1.635050556	3.228643798	0.000000000
0.126898481		5.010873761	3.968613519	2.418945539	1.673879973	3.268078198	0.000000000
0.127897682		5.051203426	4.008544966	2.458285273	1.712935421	3.307742271	0.000000000
0.128896882		5.091736336	4.048677588	2.497823095	1.752187467	3.347606122	0.000000000
0.129896083		5.132441326	4.088980529	2.537528611	1.791605939	3.387639101	0.000000000
0.130895284		5.173288648	4.129424340	2.577372810	1.831162040	3.427811960	0.000000000
0.131894484		5.214248478	4.169979493	2.617326609	1.870826897	3.468095370	0.000000000
0.132893685		5.255291816	4.210617276	2.657361725	1.910572435	3.508460813	0.000000000
0.133892886		5.296390149	4.251309461	2.697450352	1.950371051	3.548880253	0.000000000
0.134892086		5.337515459	4.292028307	2.737565165	1.990195620	3.589326138	0.000000000
0.135891287		5.378640447	4.332746791	2.777679544	2.030019716	3.629771624	0.000000000
0.136890488		5.419738498	4.373438559	2.817767531	2.069817572	3.670190540	0.000000000
0.137889688		5.460781520	4.414075803	2.857801733	2.109561993	3.710555262	0.000000000
0.138888889		5.501743782	4.454633044	2.897757053	2.149228068	3.750840487	0.000000000
0.139888090		5.542596726	4.495082011	2.937605643	2.188788150	3.791018133	0.000000000
0.140887290		5.583313922	4.535396537	2.977321728	2.228216654	3.831062210	0.000000000
0.141886491		5.623866109	4.575547652	3.016876771	2.267485251	3.870943945	0.000000000
0.142885691		5.664226567	4.615508902	3.056244714	2.306568074	3.910637064	0.000000000
0.143884892		5.704362513	4.655247831	3.095393586	2.345433385	3.950109329	0.000000000
0.144884093		5.744244073	4.694734863	3.134294253	2.384052263	3.989331363	0.000000000
0.145883293		5.783839854	4.733938915	3.172916099	2.422394314	4.028272296	0.000000000
0.146882494		5.823115672	4.772826146	3.211225786	2.460426446	4.066898513	0.000000000
0.147881695		5.862038426	4.811363782	3.249191033	2.498116613	4.105177464	0.000000000
0.148880895		5.900571822	4.849515892	3.286776444	2.535429675	4.143073458	0.000000000
0.149880096		5.938675802	4.887242816	3.323942952	2.572326853	4.180547106	0.000000000
0.150879297		5.976306277	4.924500902	3.360647558	2.608765460	4.217555049	0.000000000
0.151878497		6.013413497	4.961240897	3.396841744	2.644697331	4.254048367	0.000000000
0.152877698		6.049945094	4.997410954	3.432474436	2.680071767	4.289975563	0.000000000
0.153876898		6.085844423	5.032954988	3.467490389	2.714833923	4.325280931	0.000000000
0.154876099		6.121048630	5.067810771	3.501828303	2.748922948	4.359902663	0.000000000
0.155875300		6.155490206	5.101911467	3.535422338	2.782273480	4.393774373	0.000000000
0.156874500		6.189098152	5.135186779	3.568203248	2.814816779	4.426826239	0.000000000
0.157873701		6.221801090	5.167566041	3.600101421	2.846483738	4.458988072	0.000000000
0.158872902		6.253529603	5.198980524	3.631049153	2.877207148	4.490191607	0.000000000
0.159872102		6.284216034	5.229363244	3.660980459	2.906921504	4.520370310	0.000000000
