Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.7144 MVC = 0.2568
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.640073941
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.106914468		-4.165487977	3.713523083	1.473793474	0.829004962	0.462708386	0.000000000
0.107913669		-4.143039778	3.735989050	1.495785539	0.850861942	0.484899188	0.000000000
0.108912870		-4.120076607	3.759080195	1.518388989	0.873326303	0.507679720	0.000000000
0.109912070		-4.096613665	3.782781787	1.541589423	0.896383738	0.531035321	0.000000000
0.110911271		-4.072667303	3.807078748	1.565372094	0.920019598	0.554950784	0.000000000
0.111910472		-4.048254946	3.831955437	1.589721708	0.944218688	0.579410222	0.000000000
0.112909672		-4.023394589	3.857395002	1.614621784	0.968964634	0.604396708	0.000000000
0.113908873		-3.998105185	3.883380472	1.640055724	0.994240948	0.629892990	0.000000000
0.114908074		-3.972406154	3.909893901	1.666005976	1.020030192	0.655880979	0.000000000
0.115907274		-3.946317537	3.936916966	1.692454618	1.046314559	0.682342152	0.000000000
0.116906475		-3.919859840	3.964430909	1.719383305	1.073075824	0.709257549	0.000000000
0.117905675		-3.893053953	3.992416593	1.746773317	1.100295389	0.736607836	0.000000000
0.118904876		-3.865921123	4.020854542	1.774605605	1.127954328	0.764373338	0.000000000
0.119904077		-3.838483658	4.049724382	1.802860240	1.156032840	0.792533451	0.000000000
0.120903277		-3.810761058	4.079007797	1.831519308	1.184513129	0.821069794	0.000000000
0.121902478		-3.782775974	4.108683994	1.860562469	1.213374983	0.849961368	0.000000000
0.122901679		-3.754550294	4.138732663	1.889969855	1.242598665	0.879187722	0.000000000
0.123900879		-3.726105137	4.169133919	1.919722019	1.272164852	0.908728913	0.000000000
0.124900080		-3.697462068	4.199867413	1.949799051	1.302053764	0.938564540	0.000000000
0.125899281		-3.668642425	4.230912707	1.980180964	1.332245541	0.968674196	0.000000000
0.126898481		-3.639667518	4.262249111	2.010847515	1.362720072	0.999037295	0.000000000
0.127897682		-3.610558149	4.293855987	2.041778519	1.393457301	1.029633415	0.000000000
0.128896882		-3.581334908	4.325712613	2.072953704	1.424437087	1.060442124	0.000000000
0.129896083		-3.552017498	4.357798469	2.104352997	1.455639486	1.091443364	0.000000000
0.130895284		-3.522624887	4.390093026	2.135956318	1.487044547	1.122617251	0.000000000
0.131894484		-3.493175595	4.422575822	2.167743649	1.518632382	1.153944065	0.000000000
0.132893685		-3.463683230	4.455229937	2.199698439	1.550386546	1.185407923	0.000000000
